taxon_full_name,taxon_id_at_source,status_at_source,accepted_taxon_id_at_source,kingdom,shape,division,class,order,family,subfamily,genus,specific_epithet,infraspecific_epithet
schedel (cranium),oer:id001,accepted,,Bot,skull & jaw,schedel (cranium),,,,,,,
alveole,oer:id002,accepted,,Bot,skull & jaw,schedel (cranium),alveole,,,,,,
arcus zygomaticus,oer:id003,accepted,,Bot,skull & jaw,schedel (cranium),arcus zygomaticus,,,,,,
gehoorbeen (ossicula auditus),oer:id004,accepted,,Bot,skull & jaw,schedel (cranium),bulla / ossicula auditus,,,,,,
concha nasalis inferior,oer:id005,accepted,,Bot,skull & jaw,schedel (cranium),concha nasalis inferior,,,,,,
condylus occipitalis,oer:id006,accepted,,Bot,skull & jaw,schedel (cranium),condylus occipitalis,,,,,,
maxilla,oer:id007,accepted,,Bot,skull & jaw,schedel (cranium),maxilla,,,,,,
os ethmoidale,oer:id008,accepted,,Bot,skull & jaw,schedel (cranium),os ethmoidale,,,,,,
os frontale,oer:id009,accepted,,Bot,skull & jaw,schedel (cranium),os frontale,,,,,,
os lacrimale,oer:id010,accepted,,Bot,skull & jaw,schedel (cranium),os lacrimale,,,,,,
os nasale,oer:id011,accepted,,Bot,skull & jaw,schedel (cranium),os nasale,,,,,,
os occipitale,oer:id012,accepted,,Bot,skull & jaw,schedel (cranium),os occipitale,,,,,,
os palatinatum,oer:id013,accepted,,Bot,skull & jaw,schedel (cranium),os palatinatum,,,,,,
os parietale,oer:id014,accepted,,Bot,skull & jaw,schedel (cranium),os parietale,,,,,,
os petrosum,oer:id015,accepted,,Bot,skull & jaw,schedel (cranium),os petrosum,,,,,,
os sphenoidale,oer:id016,accepted,,Bot,skull & jaw,schedel (cranium),os sphenoidale,,,,,,
os temporale,oer:id017,accepted,,Bot,skull & jaw,schedel (cranium),os temporale,,,,,,
os zygomaticum,oer:id018,accepted,,Bot,skull & jaw,schedel (cranium),os zygomaticum,,,,,,
vomer,oer:id019,accepted,,Bot,skull & jaw,schedel (cranium),vomer,,,,,,
onderkaak (mandibula),oer:id020,accepted,,Bot,skull & jaw,onderkaak (mandibula),,,,,,,
gewei,oer:id021,accepted,,Bot,horn or antler,gewei,,,,,,,
botkern hoorn,oer:id022,accepted,,Bot,horn or antler,botkern hoorn,,,,,,,
tongbeen (os hyoideum),oer:id023,accepted,,Bot,skull & jaw,tongbeen (os hyoideum),,,,,,,
wervel (vertebra),oer:id024,accepted,,Bot,irregular,wervel (vertebra),,,,,,,
doornuitsteeksel (processus spinosus),oer:id025,accepted,,Bot,irregular,wervel (vertebra),doornuitsteeksel (processus spinosus),,,,,,
wervellichaam (corpus vertebrae),oer:id026,accepted,,Bot,irregular,wervel (vertebra),wervellichaam (corpus vertebrae),,,,,,
wervelboog (arcus vertebrae),oer:id027,accepted,,Bot,irregular,wervel (vertebra),wervelboog (arcus vertebrae),,,,,,
dwarsuitsteeksel (processus transersus),oer:id028,accepted,,Bot,irregular,wervel (vertebra),dwarsuitsteeksel (processus transersus),,,,,,
eerste nekwervel (atlas),oer:id029,accepted,,Bot,irregular,wervel (vertebra),eerste nekwervel (atlas),,,,,,
tweede nekwervel (epistropheum),oer:id030,accepted,,Bot,irregular,wervel (vertebra),tweede nekwervel (epistropheum),,,,,,
nekwervel (vertebra cervicalis),oer:id031,accepted,,Bot,irregular,wervel (vertebra),nekwervel (vertebra cervicalis),,,,,,
borstwervel (vertebra thoracalis),oer:id032,accepted,,Bot,irregular,wervel (vertebra),borstwervel (vertebra thoracalis),,,,,,
lendenwervel (vertebra lumbalis),oer:id033,accepted,,Bot,irregular,wervel (vertebra),lendenwervel (vertebra lumbalis),,,,,,
heupwervel (vertebra sacralis),oer:id034,accepted,,Bot,irregular,wervel (vertebra),heupwervel (vertebra sacralis),,,,,,
staartwervel (vertebra caudalis),oer:id035,accepted,,Bot,irregular,wervel (vertebra),staartwervel (vertebra caudalis),,,,,,
rib (costa),oer:id036,accepted,,Bot,flat,rib (costa),,,,,,,
borstbeen (sternum),oer:id037,accepted,,Bot,flat,borstbeen (sternum),,,,,,,
sleutelbeen (clavicula),oer:id038,accepted,,Bot,flat,sleutelbeen (clavicula),,,,,,,
schouderblad (scapula),oer:id039,accepted,,Bot,bowl,schouderblad (scapula),,,,,,,
opperarm (humerus),oer:id040,accepted,,Bot,long,opperarm (humerus),,,,,,,
spaakbeen (radius),oer:id041,accepted,,Bot,long,spaakbeen (radius),,,,,,,
ellepijp (ulna),oer:id042,accepted,,Bot,long,ellepijp (ulna),,,,,,,
handwortelbeen (carpus),oer:id043,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),,,,,,
os capitatum / os magnum,oer:id044,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os capitatum / os magnum,,,,,
os hamatum,oer:id045,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os hamatum,,,,,
os lunatum,oer:id046,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os lunatum,,,,,
os pisiforme,oer:id047,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os pisiforme,,,,,
os scaphoideum,oer:id048,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os scaphoideum,,,,,
os trapezium,oer:id049,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os trapezium,,,,,
os trapezoideum,oer:id050,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os trapezoideum,,,,,
os triquetrum/pyramidale/triangulare,oer:id051,accepted,,Bot,compact,carpus of tarsus,handwortelbeen (carpus),os triquetrum/pyramidale/triangulare,,,,,
middenhandsbeen (metacarpus),oer:id052,accepted,,Bot,compact,metacarpal of metatarsal,middenhandsbeen (metacarpus),,,,,,
metacarpus I,oer:id053,accepted,,Bot,compact,metacarpal of metatarsal,middenhandsbeen (metacarpus),metacarpus I,,,,,
metacarpus II,oer:id054,accepted,,Bot,compact,metacarpal of metatarsal,middenhandsbeen (metacarpus),metacarpus II,,,,,
metacarpus III,oer:id055,accepted,,Bot,compact,metacarpal of metatarsal,middenhandsbeen (metacarpus),metacarpus III,,,,,
metacarpus IV,oer:id056,accepted,,Bot,compact,metacarpal of metatarsal,middenhandsbeen (metacarpus),metacarpus IV,,,,,
metacarpus V,oer:id057,accepted,,Bot,compact,metacarpal of metatarsal,middenhandsbeen (metacarpus),metacarpus V,,,,,
sesambotje (os sesamoides),oer:id058,accepted,,Bot,compact,sesambotje (os sesamoides),,,,,,,
kootje (falanx),oer:id059,accepted,,Bot,compact,kootje (falanx),,,,,,,
falanx I,oer:id060,accepted,,Bot,compact,kootje (falanx),falanx I,,,,,,
falanx II,oer:id061,accepted,,Bot,compact,kootje (falanx),falanx II,,,,,,
falanx III,oer:id062,accepted,,Bot,compact,kootje (falanx),falanx III / hoef,,,,,,
bekken (pelvis),oer:id063,accepted,,Bot,bowl,bekken (pelvis),,,,,,,
bekkenbeen (ilium),oer:id064,accepted,,Bot,bowl,bekken (pelvis),bekkenbeen (ilium),,,,,,
heupkom (ischium),oer:id065,accepted,,Bot,bowl,bekken (pelvis),heupkom (ischium),,,,,,
zitbeen (pubis),oer:id066,accepted,,Bot,bowl,bekken (pelvis),zitbeen (pubis),,,,,,
dijbeen (femur),oer:id067,accepted,,Bot,long,dijbeen (femur),,,,,,,
knieschijf (patella),oer:id068,accepted,,Bot,other,knieschijf (patella),,,,,,,
scheenbeen (tibia),oer:id069,accepted,,Bot,long,scheenbeen (tibia),,,,,,,
kuitbeen (fibula),oer:id070,accepted,,Bot,long,kuitbeen (fibula),,,,,,,
sprongbeen (astragalus),oer:id071,accepted,,Bot,compact,sprongbeen (astragalus),,,,,,,
hielbeen (calcaneus),oer:id072,accepted,,Bot,compact,hielbeen (calcaneus),,,,,,,
voetwortelbeen (tarsus),oer:id073,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),,,,,,
cubonaviculare,oer:id074,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),cubonaviculare,,,,,
os cuboideum,oer:id075,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),os cuboideum,,,,,
os cuneiforme intermediate,oer:id076,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),os cuneiforme intermediate,,,,,
os cuneiforme lateral,oer:id077,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),os cuneiforme lateral,,,,,
os cuneiforme medial,oer:id078,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),os cuneiforme medial,,,,,
os naviculare,oer:id079,accepted,,Bot,compact,carpus of tarsus,voetwortelbeen (tarsus),os naviculare,,,,,
metacarpal of metatarsal,oer:id080,accepted,,Bot,compact,metacarpal of metatarsal,,,,,,,
middenvoetsbeen (metatarsus),oer:id081,accepted,,Bot,compact,metacarpal of metatarsal,middenvoetsbeen (metatarsus),,,,,,
