taxon_full_name,taxon_id_at_source,status_at_source,accepted_taxon_id_at_source,kingdom,division,class,order,family,genus,specific_epithet
Dieren (Animalia),oer:id001,accepted,,Animalia,,,,,,
taxon indet. (Chordata),oer:id002,accepted,,Animalia,Chordata,,,,,
Zoogdieren (Mammalia),oer:id003,accepted,,Animalia,Chordata,Mammalia,,,,
Evenhoevigen (Artiodactyla),oer:id004,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,,,
Holhoornigen (Bovidae),oer:id005,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,,
Bisons (Bison sp.),oer:id006,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,
Bison van Menner (Bison menneri),oer:id007,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison menneri
Steppewisent (Bison priscus),oer:id008,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison priscus
Bosbison (Bison schoetensacki),oer:id009,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison schoetensacki
Runderachtige (Bos sp.),oer:id010,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,
Oeros (Bos primigenius),oer:id011,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos primigenius
Rund (Bos taurus),oer:id012,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus
Buffelachtige (Bubalus sp.),oer:id013,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,
Europese waterbuffel (Bubalus murrensis),oer:id014,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus murrensis
Geit/Steenbok (Capra sp.),oer:id015,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,
Geit (Capra hircus),oer:id016,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus
Alpensteenbok (Capra ibex),oer:id017,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex
Antilope (Caprovis sp.),oer:id018,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Caprovis,
Savin’s antilope (Caprovis savinii),oer:id019,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Caprovis,Caprovis savinii
Gazelle (Gazella sp.),oer:id020,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,
Borbon’s antilope (Gazella borbonica),oer:id021,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella borbonica
Schreuder’s gazelle (Gazella schreuderae),oer:id022,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella schreuderae
Uitgestorven bovine (Leptobos sp.),oer:id023,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Leptobos,
Antilope-achtige (Leptobos cf. elatus),oer:id024,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Leptobos,Leptobos cf. elatus
Etruskische os (Leptobos etruscus),oer:id025,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Leptobos,Leptobos etruscus
Muskusos (Ovibos sp.),oer:id026,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovibos,
Muskusos (Ovibos moschatus),oer:id027,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovibos,Ovibos moschatus
Schaapachtige (Ovis sp.),oer:id028,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,
Schaap (Ovis aries),oer:id029,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
Reuzenmuskusossen (Praeovibos sp.),oer:id030,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Praeovibos,
Reuzenmuskusos (Praeovibos priscus),oer:id031,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Praeovibos,Praeovibos priscus
Saigas (Saiga sp.),oer:id032,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,
Saiga antilope (Saiga tatarica),oer:id033,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Saiga tatarica
Steppegeiten (Soergelia sp.),oer:id034,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Soergelia,
Kleine steppegeit (Soergelia minor),oer:id035,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Soergelia,Soergelia minor
Hertachtigen (Cervidae),oer:id036,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,,
Elanden (Alces sp.),oer:id037,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,
Eland (Alces alces),oer:id038,accepted,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces
